"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 18 23:19:25 GMT 2025","Wed Jun 18 23:19:25 GMT 2025","625","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Jun 18 23:19:27 GMT 2025","Wed Jun 18 23:19:27 GMT 2025","617","","","","","","Login as locked user",""
"passed","Wed Jun 18 23:19:28 GMT 2025","Wed Jun 18 23:19:29 GMT 2025","921","","","","","","Remove Items from Cart",""
"passed","Wed Jun 18 23:19:18 GMT 2025","Wed Jun 18 23:19:24 GMT 2025","5665","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Wed Jun 18 23:19:27 GMT 2025","Wed Jun 18 23:19:28 GMT 2025","861","","","","","","Add Items to Cart",""
"passed","Wed Jun 18 23:19:24 GMT 2025","Wed Jun 18 23:19:25 GMT 2025","653","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Jun 18 23:19:18 GMT 2025","Wed Jun 18 23:19:18 GMT 2025","741","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Wed Jun 18 23:19:26 GMT 2025","Wed Jun 18 23:19:27 GMT 2025","602","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Wed Jun 18 23:19:25 GMT 2025","Wed Jun 18 23:19:26 GMT 2025","593","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Wed Jun 18 23:19:17 GMT 2025","Wed Jun 18 23:19:18 GMT 2025","986","","","","","","Checkout Completion",""
"passed","Wed Jun 18 23:19:15 GMT 2025","Wed Jun 18 23:19:17 GMT 2025","1328","","","","","","Checkout Overview Data Correctness",""
