"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 23:17:31 GMT 2025","Fri Oct 17 23:17:32 GMT 2025","903","","","","","","Remove Items from Cart",""
"passed","Fri Oct 17 23:17:28 GMT 2025","Fri Oct 17 23:17:28 GMT 2025","622","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Fri Oct 17 23:17:16 GMT 2025","Fri Oct 17 23:17:20 GMT 2025","3929","","","","","","Checkout Overview Data Correctness",""
"broken","Fri Oct 17 23:17:20 GMT 2025","Fri Oct 17 23:17:21 GMT 2025","1058","","","","","","Checkout Completion",""
"passed","Fri Oct 17 23:17:31 GMT 2025","Fri Oct 17 23:17:31 GMT 2025","787","","","","","","Add Items to Cart",""
"broken","Fri Oct 17 23:17:29 GMT 2025","Fri Oct 17 23:17:30 GMT 2025","583","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Oct 17 23:17:28 GMT 2025","Fri Oct 17 23:17:29 GMT 2025","591","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Fri Oct 17 23:17:30 GMT 2025","Fri Oct 17 23:17:31 GMT 2025","583","","","","","","Login as locked user",""
"passed","Fri Oct 17 23:17:21 GMT 2025","Fri Oct 17 23:17:22 GMT 2025","636","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri Oct 17 23:17:29 GMT 2025","Fri Oct 17 23:17:29 GMT 2025","599","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Oct 17 23:17:22 GMT 2025","Fri Oct 17 23:17:28 GMT 2025","5630","","","","","","Login with valid credentials -- @1.2 ",""
