"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 30 23:18:53 GMT 2025","Fri May 30 23:18:54 GMT 2025","717","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri May 30 23:18:55 GMT 2025","Fri May 30 23:18:56 GMT 2025","679","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri May 30 23:18:45 GMT 2025","Fri May 30 23:18:46 GMT 2025","1181","","","","","","Checkout Completion",""
"passed","Fri May 30 23:18:43 GMT 2025","Fri May 30 23:18:45 GMT 2025","2045","","","","","","Checkout Overview Data Correctness",""
"broken","Fri May 30 23:18:54 GMT 2025","Fri May 30 23:18:54 GMT 2025","668","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri May 30 23:18:47 GMT 2025","Fri May 30 23:18:53 GMT 2025","5703","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri May 30 23:18:47 GMT 2025","Fri May 30 23:18:47 GMT 2025","679","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri May 30 23:18:56 GMT 2025","Fri May 30 23:18:56 GMT 2025","665","","","","","","Login as locked user",""
"broken","Fri May 30 23:18:54 GMT 2025","Fri May 30 23:18:55 GMT 2025","664","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri May 30 23:18:56 GMT 2025","Fri May 30 23:18:57 GMT 2025","1013","","","","","","Add Items to Cart",""
"passed","Fri May 30 23:18:57 GMT 2025","Fri May 30 23:18:58 GMT 2025","1122","","","","","","Remove Items from Cart",""
