"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 07 23:18:34 GMT 2025","Wed May 07 23:18:35 GMT 2025","1064","","","","","","Checkout Completion",""
"passed","Wed May 07 23:18:41 GMT 2025","Wed May 07 23:18:42 GMT 2025","763","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Wed May 07 23:18:43 GMT 2025","Wed May 07 23:18:43 GMT 2025","678","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Wed May 07 23:18:42 GMT 2025","Wed May 07 23:18:43 GMT 2025","692","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Wed May 07 23:18:35 GMT 2025","Wed May 07 23:18:41 GMT 2025","5701","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Wed May 07 23:18:46 GMT 2025","Wed May 07 23:18:47 GMT 2025","1075","","","","","","Remove Items from Cart",""
"passed","Wed May 07 23:18:32 GMT 2025","Wed May 07 23:18:34 GMT 2025","1450","","","","","","Checkout Overview Data Correctness",""
"passed","Wed May 07 23:18:45 GMT 2025","Wed May 07 23:18:46 GMT 2025","1058","","","","","","Add Items to Cart",""
"broken","Wed May 07 23:18:44 GMT 2025","Wed May 07 23:18:45 GMT 2025","696","","","","","","Login as locked user",""
"broken","Wed May 07 23:18:43 GMT 2025","Wed May 07 23:18:44 GMT 2025","688","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed May 07 23:18:35 GMT 2025","Wed May 07 23:18:35 GMT 2025","709","","","","","","Login with valid credentials -- @1.1 ",""
