"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 24 23:16:24 GMT 2025","Fri Jan 24 23:16:25 GMT 2025","543","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Fri Jan 24 23:16:16 GMT 2025","Fri Jan 24 23:16:17 GMT 2025","1647","","","","","","Checkout Completion",""
"broken","Fri Jan 24 23:16:25 GMT 2025","Fri Jan 24 23:16:26 GMT 2025","554","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Jan 24 23:16:25 GMT 2025","Fri Jan 24 23:16:25 GMT 2025","546","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Jan 24 23:16:18 GMT 2025","Fri Jan 24 23:16:24 GMT 2025","5596","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri Jan 24 23:16:27 GMT 2025","Fri Jan 24 23:16:28 GMT 2025","898","","","","","","Remove Items from Cart",""
"passed","Fri Jan 24 23:16:24 GMT 2025","Fri Jan 24 23:16:24 GMT 2025","578","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Fri Jan 24 23:16:17 GMT 2025","Fri Jan 24 23:16:18 GMT 2025","553","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Fri Jan 24 23:16:26 GMT 2025","Fri Jan 24 23:16:27 GMT 2025","828","","","","","","Add Items to Cart",""
"passed","Fri Jan 24 23:16:14 GMT 2025","Fri Jan 24 23:16:16 GMT 2025","1453","","","","","","Checkout Overview Data Correctness",""
"broken","Fri Jan 24 23:16:26 GMT 2025","Fri Jan 24 23:16:26 GMT 2025","542","","","","","","Login as locked user",""
