"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 31 23:17:55 GMT 2025","Mon Mar 31 23:17:56 GMT 2025","1031","","","","","","Checkout Completion",""
"broken","Mon Mar 31 23:18:03 GMT 2025","Mon Mar 31 23:18:03 GMT 2025","639","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Mon Mar 31 23:17:56 GMT 2025","Mon Mar 31 23:17:56 GMT 2025","654","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Mon Mar 31 23:17:54 GMT 2025","Mon Mar 31 23:17:55 GMT 2025","1291","","","","","","Checkout Overview Data Correctness",""
"passed","Mon Mar 31 23:18:05 GMT 2025","Mon Mar 31 23:18:06 GMT 2025","938","","","","","","Add Items to Cart",""
"broken","Mon Mar 31 23:18:05 GMT 2025","Mon Mar 31 23:18:05 GMT 2025","628","","","","","","Login as locked user",""
"passed","Mon Mar 31 23:18:02 GMT 2025","Mon Mar 31 23:18:03 GMT 2025","670","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Mon Mar 31 23:17:56 GMT 2025","Mon Mar 31 23:18:02 GMT 2025","5667","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Mon Mar 31 23:18:04 GMT 2025","Mon Mar 31 23:18:05 GMT 2025","629","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Mon Mar 31 23:18:06 GMT 2025","Mon Mar 31 23:18:07 GMT 2025","1044","","","","","","Remove Items from Cart",""
"broken","Mon Mar 31 23:18:03 GMT 2025","Mon Mar 31 23:18:04 GMT 2025","636","","","","","","Login with invalid credentials -- @1.2 ",""
