"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 27 23:16:40 GMT 2025","Mon Jan 27 23:16:42 GMT 2025","1567","","","","","","Checkout Completion",""
"passed","Mon Jan 27 23:16:42 GMT 2025","Mon Jan 27 23:16:43 GMT 2025","558","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Mon Jan 27 23:16:51 GMT 2025","Mon Jan 27 23:16:51 GMT 2025","798","","","","","","Add Items to Cart",""
"broken","Mon Jan 27 23:16:49 GMT 2025","Mon Jan 27 23:16:50 GMT 2025","502","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Mon Jan 27 23:16:48 GMT 2025","Mon Jan 27 23:16:49 GMT 2025","537","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Mon Jan 27 23:16:39 GMT 2025","Mon Jan 27 23:16:40 GMT 2025","1428","","","","","","Checkout Overview Data Correctness",""
"broken","Mon Jan 27 23:16:49 GMT 2025","Mon Jan 27 23:16:49 GMT 2025","505","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Mon Jan 27 23:16:51 GMT 2025","Mon Jan 27 23:16:52 GMT 2025","850","","","","","","Remove Items from Cart",""
"broken","Mon Jan 27 23:16:50 GMT 2025","Mon Jan 27 23:16:51 GMT 2025","512","","","","","","Login as locked user",""
"passed","Mon Jan 27 23:16:43 GMT 2025","Mon Jan 27 23:16:48 GMT 2025","5565","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Mon Jan 27 23:16:50 GMT 2025","Mon Jan 27 23:16:50 GMT 2025","521","","","","","","Login with invalid credentials -- @1.3 ",""
