"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 13 23:19:47 GMT 2025","Wed Aug 13 23:19:48 GMT 2025","1548","","","","","","Checkout Overview Data Correctness",""
"passed","Wed Aug 13 23:19:56 GMT 2025","Wed Aug 13 23:19:56 GMT 2025","691","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Wed Aug 13 23:19:58 GMT 2025","Wed Aug 13 23:19:58 GMT 2025","664","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Aug 13 23:19:49 GMT 2025","Wed Aug 13 23:19:50 GMT 2025","671","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Aug 13 23:20:00 GMT 2025","Wed Aug 13 23:20:01 GMT 2025","982","","","","","","Remove Items from Cart",""
"broken","Wed Aug 13 23:19:58 GMT 2025","Wed Aug 13 23:19:59 GMT 2025","681","","","","","","Login as locked user",""
"broken","Wed Aug 13 23:19:56 GMT 2025","Wed Aug 13 23:19:57 GMT 2025","644","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Aug 13 23:19:57 GMT 2025","Wed Aug 13 23:19:58 GMT 2025","667","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Wed Aug 13 23:19:48 GMT 2025","Wed Aug 13 23:19:49 GMT 2025","1043","","","","","","Checkout Completion",""
"passed","Wed Aug 13 23:19:50 GMT 2025","Wed Aug 13 23:19:56 GMT 2025","5698","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Wed Aug 13 23:19:59 GMT 2025","Wed Aug 13 23:20:00 GMT 2025","996","","","","","","Add Items to Cart",""
