"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 04 23:18:12 GMT 2025","Fri Apr 04 23:18:13 GMT 2025","634","","","","","","Login as locked user",""
"broken","Fri Apr 04 23:18:02 GMT 2025","Fri Apr 04 23:18:03 GMT 2025","1012","","","","","","Checkout Completion",""
"passed","Fri Apr 04 23:18:04 GMT 2025","Fri Apr 04 23:18:10 GMT 2025","5658","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri Apr 04 23:18:13 GMT 2025","Fri Apr 04 23:18:14 GMT 2025","990","","","","","","Add Items to Cart",""
"broken","Fri Apr 04 23:18:12 GMT 2025","Fri Apr 04 23:18:12 GMT 2025","613","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Apr 04 23:18:10 GMT 2025","Fri Apr 04 23:18:11 GMT 2025","635","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Apr 04 23:18:14 GMT 2025","Fri Apr 04 23:18:15 GMT 2025","1092","","","","","","Remove Items from Cart",""
"passed","Fri Apr 04 23:18:03 GMT 2025","Fri Apr 04 23:18:04 GMT 2025","633","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri Apr 04 23:18:11 GMT 2025","Fri Apr 04 23:18:12 GMT 2025","650","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Apr 04 23:18:10 GMT 2025","Fri Apr 04 23:18:10 GMT 2025","683","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Fri Apr 04 23:18:01 GMT 2025","Fri Apr 04 23:18:02 GMT 2025","1361","","","","","","Checkout Overview Data Correctness",""
