"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 23 23:18:55 GMT 2025","Wed Apr 23 23:18:56 GMT 2025","604","","","","","","Login as locked user",""
"passed","Wed Apr 23 23:18:44 GMT 2025","Wed Apr 23 23:18:45 GMT 2025","1151","","","","","","Checkout Overview Data Correctness",""
"broken","Wed Apr 23 23:18:45 GMT 2025","Wed Apr 23 23:18:46 GMT 2025","1031","","","","","","Checkout Completion",""
"passed","Wed Apr 23 23:18:46 GMT 2025","Wed Apr 23 23:18:47 GMT 2025","630","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Apr 23 23:18:47 GMT 2025","Wed Apr 23 23:18:53 GMT 2025","5656","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Wed Apr 23 23:18:53 GMT 2025","Wed Apr 23 23:18:53 GMT 2025","665","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Apr 23 23:18:56 GMT 2025","Wed Apr 23 23:18:57 GMT 2025","954","","","","","","Add Items to Cart",""
"broken","Wed Apr 23 23:18:53 GMT 2025","Wed Apr 23 23:18:54 GMT 2025","633","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Wed Apr 23 23:18:57 GMT 2025","Wed Apr 23 23:18:58 GMT 2025","1003","","","","","","Remove Items from Cart",""
"broken","Wed Apr 23 23:18:55 GMT 2025","Wed Apr 23 23:18:55 GMT 2025","611","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Wed Apr 23 23:18:54 GMT 2025","Wed Apr 23 23:18:55 GMT 2025","616","","","","","","Login with invalid credentials -- @1.2 ",""
