"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 01 23:18:18 GMT 2025","Sat Mar 01 23:18:19 GMT 2025","828","","","","","","Add Items to Cart",""
"broken","Sat Mar 01 23:18:18 GMT 2025","Sat Mar 01 23:18:18 GMT 2025","551","","","","","","Login as locked user",""
"broken","Sat Mar 01 23:18:17 GMT 2025","Sat Mar 01 23:18:17 GMT 2025","566","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Sat Mar 01 23:18:09 GMT 2025","Sat Mar 01 23:18:10 GMT 2025","603","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Sat Mar 01 23:18:17 GMT 2025","Sat Mar 01 23:18:18 GMT 2025","550","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Sat Mar 01 23:18:15 GMT 2025","Sat Mar 01 23:18:16 GMT 2025","600","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sat Mar 01 23:18:08 GMT 2025","Sat Mar 01 23:18:09 GMT 2025","940","","","","","","Checkout Completion",""
"passed","Sat Mar 01 23:18:07 GMT 2025","Sat Mar 01 23:18:08 GMT 2025","1454","","","","","","Checkout Overview Data Correctness",""
"passed","Sat Mar 01 23:18:10 GMT 2025","Sat Mar 01 23:18:15 GMT 2025","5620","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Sat Mar 01 23:18:16 GMT 2025","Sat Mar 01 23:18:17 GMT 2025","558","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Sat Mar 01 23:18:19 GMT 2025","Sat Mar 01 23:18:20 GMT 2025","908","","","","","","Remove Items from Cart",""
