"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 18 23:18:04 GMT 2025","Fri Apr 18 23:18:04 GMT 2025","606","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Apr 18 23:17:57 GMT 2025","Fri Apr 18 23:17:57 GMT 2025","654","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Fri Apr 18 23:18:07 GMT 2025","Fri Apr 18 23:18:08 GMT 2025","990","","","","","","Remove Items from Cart",""
"passed","Fri Apr 18 23:18:03 GMT 2025","Fri Apr 18 23:18:04 GMT 2025","646","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri Apr 18 23:18:04 GMT 2025","Fri Apr 18 23:18:05 GMT 2025","614","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Fri Apr 18 23:18:05 GMT 2025","Fri Apr 18 23:18:06 GMT 2025","578","","","","","","Login as locked user",""
"broken","Fri Apr 18 23:18:05 GMT 2025","Fri Apr 18 23:18:05 GMT 2025","602","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Fri Apr 18 23:17:52 GMT 2025","Fri Apr 18 23:17:56 GMT 2025","3988","","","","","","Checkout Overview Data Correctness",""
"broken","Fri Apr 18 23:17:56 GMT 2025","Fri Apr 18 23:17:57 GMT 2025","1091","","","","","","Checkout Completion",""
"passed","Fri Apr 18 23:18:06 GMT 2025","Fri Apr 18 23:18:07 GMT 2025","945","","","","","","Add Items to Cart",""
"passed","Fri Apr 18 23:17:57 GMT 2025","Fri Apr 18 23:18:03 GMT 2025","5659","","","","","","Login with valid credentials -- @1.2 ",""
