"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 12 23:19:29 GMT 2025","Thu Jun 12 23:19:30 GMT 2025","716","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Thu Jun 12 23:19:38 GMT 2025","Thu Jun 12 23:19:39 GMT 2025","645","","","","","","Login as locked user",""
"broken","Thu Jun 12 23:19:38 GMT 2025","Thu Jun 12 23:19:38 GMT 2025","671","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Thu Jun 12 23:19:40 GMT 2025","Thu Jun 12 23:19:41 GMT 2025","1003","","","","","","Remove Items from Cart",""
"passed","Thu Jun 12 23:19:30 GMT 2025","Thu Jun 12 23:19:35 GMT 2025","5684","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Thu Jun 12 23:19:39 GMT 2025","Thu Jun 12 23:19:40 GMT 2025","934","","","","","","Add Items to Cart",""
"broken","Thu Jun 12 23:19:28 GMT 2025","Thu Jun 12 23:19:29 GMT 2025","1124","","","","","","Checkout Completion",""
"broken","Thu Jun 12 23:19:37 GMT 2025","Thu Jun 12 23:19:38 GMT 2025","642","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Thu Jun 12 23:19:35 GMT 2025","Thu Jun 12 23:19:36 GMT 2025","693","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Thu Jun 12 23:19:36 GMT 2025","Thu Jun 12 23:19:37 GMT 2025","676","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Thu Jun 12 23:19:26 GMT 2025","Thu Jun 12 23:19:28 GMT 2025","1623","","","","","","Checkout Overview Data Correctness",""
