"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 23:19:08 GMT 2025","Mon May 19 23:19:09 GMT 2025","704","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Mon May 19 23:19:00 GMT 2025","Mon May 19 23:19:02 GMT 2025","1068","","","","","","Checkout Completion",""
"passed","Mon May 19 23:18:59 GMT 2025","Mon May 19 23:19:00 GMT 2025","1435","","","","","","Checkout Overview Data Correctness",""
"broken","Mon May 19 23:19:09 GMT 2025","Mon May 19 23:19:09 GMT 2025","668","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Mon May 19 23:19:11 GMT 2025","Mon May 19 23:19:11 GMT 2025","619","","","","","","Login as locked user",""
"passed","Mon May 19 23:19:02 GMT 2025","Mon May 19 23:19:02 GMT 2025","684","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Mon May 19 23:19:12 GMT 2025","Mon May 19 23:19:13 GMT 2025","1052","","","","","","Remove Items from Cart",""
"passed","Mon May 19 23:19:02 GMT 2025","Mon May 19 23:19:08 GMT 2025","5692","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Mon May 19 23:19:10 GMT 2025","Mon May 19 23:19:11 GMT 2025","645","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Mon May 19 23:19:11 GMT 2025","Mon May 19 23:19:12 GMT 2025","913","","","","","","Add Items to Cart",""
"broken","Mon May 19 23:19:09 GMT 2025","Mon May 19 23:19:10 GMT 2025","644","","","","","","Login with invalid credentials -- @1.2 ",""
