"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 20 23:17:46 GMT 2025","Mon Oct 20 23:17:47 GMT 2025","714","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Mon Oct 20 23:17:47 GMT 2025","Mon Oct 20 23:17:52 GMT 2025","5683","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Mon Oct 20 23:17:56 GMT 2025","Mon Oct 20 23:17:57 GMT 2025","919","","","","","","Remove Items from Cart",""
"broken","Mon Oct 20 23:17:53 GMT 2025","Mon Oct 20 23:17:54 GMT 2025","591","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Mon Oct 20 23:17:41 GMT 2025","Mon Oct 20 23:17:45 GMT 2025","3620","","","","","","Checkout Overview Data Correctness",""
"broken","Mon Oct 20 23:17:54 GMT 2025","Mon Oct 20 23:17:54 GMT 2025","614","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Mon Oct 20 23:17:45 GMT 2025","Mon Oct 20 23:17:46 GMT 2025","1054","","","","","","Checkout Completion",""
"broken","Mon Oct 20 23:17:55 GMT 2025","Mon Oct 20 23:17:56 GMT 2025","616","","","","","","Login as locked user",""
"passed","Mon Oct 20 23:17:52 GMT 2025","Mon Oct 20 23:17:53 GMT 2025","639","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Mon Oct 20 23:17:54 GMT 2025","Mon Oct 20 23:17:55 GMT 2025","617","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Mon Oct 20 23:17:56 GMT 2025","Mon Oct 20 23:17:56 GMT 2025","929","","","","","","Add Items to Cart",""
