"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 23:19:14 GMT 2025","Mon Mar 24 23:19:15 GMT 2025","646","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Mon Mar 24 23:19:22 GMT 2025","Mon Mar 24 23:19:22 GMT 2025","586","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Mon Mar 24 23:19:24 GMT 2025","Mon Mar 24 23:19:25 GMT 2025","1008","","","","","","Remove Items from Cart",""
"passed","Mon Mar 24 23:19:23 GMT 2025","Mon Mar 24 23:19:24 GMT 2025","926","","","","","","Add Items to Cart",""
"passed","Mon Mar 24 23:19:20 GMT 2025","Mon Mar 24 23:19:21 GMT 2025","630","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Mon Mar 24 23:19:15 GMT 2025","Mon Mar 24 23:19:20 GMT 2025","5656","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Mon Mar 24 23:19:21 GMT 2025","Mon Mar 24 23:19:22 GMT 2025","589","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Mon Mar 24 23:19:22 GMT 2025","Mon Mar 24 23:19:23 GMT 2025","597","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Mon Mar 24 23:19:12 GMT 2025","Mon Mar 24 23:19:13 GMT 2025","1449","","","","","","Checkout Overview Data Correctness",""
"broken","Mon Mar 24 23:19:23 GMT 2025","Mon Mar 24 23:19:23 GMT 2025","584","","","","","","Login as locked user",""
"broken","Mon Mar 24 23:19:13 GMT 2025","Mon Mar 24 23:19:14 GMT 2025","1073","","","","","","Checkout Completion",""
