"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 24 23:16:45 GMT 2024","Tue Dec 24 23:16:46 GMT 2024","534","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Tue Dec 24 23:16:38 GMT 2024","Tue Dec 24 23:16:44 GMT 2024","5560","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Tue Dec 24 23:16:47 GMT 2024","Tue Dec 24 23:16:48 GMT 2024","893","","","","","","Remove Items from Cart",""
"broken","Tue Dec 24 23:16:37 GMT 2024","Tue Dec 24 23:16:38 GMT 2024","850","","","","","","Checkout Completion",""
"broken","Tue Dec 24 23:16:46 GMT 2024","Tue Dec 24 23:16:47 GMT 2024","537","","","","","","Login as locked user",""
"passed","Tue Dec 24 23:16:44 GMT 2024","Tue Dec 24 23:16:44 GMT 2024","589","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Tue Dec 24 23:16:44 GMT 2024","Tue Dec 24 23:16:45 GMT 2024","536","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Tue Dec 24 23:16:46 GMT 2024","Tue Dec 24 23:16:46 GMT 2024","536","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Tue Dec 24 23:16:38 GMT 2024","Tue Dec 24 23:16:38 GMT 2024","561","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Tue Dec 24 23:16:47 GMT 2024","Tue Dec 24 23:16:47 GMT 2024","820","","","","","","Add Items to Cart",""
"passed","Tue Dec 24 23:16:36 GMT 2024","Tue Dec 24 23:16:37 GMT 2024","993","","","","","","Checkout Overview Data Correctness",""
