"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 23:20:26 GMT 2025","Fri Jun 27 23:20:27 GMT 2025","1024","","","","","","Remove Items from Cart",""
"broken","Fri Jun 27 23:20:24 GMT 2025","Fri Jun 27 23:20:24 GMT 2025","646","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Fri Jun 27 23:20:25 GMT 2025","Fri Jun 27 23:20:26 GMT 2025","958","","","","","","Add Items to Cart",""
"broken","Fri Jun 27 23:20:23 GMT 2025","Fri Jun 27 23:20:24 GMT 2025","649","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Fri Jun 27 23:20:22 GMT 2025","Fri Jun 27 23:20:23 GMT 2025","646","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Jun 27 23:20:10 GMT 2025","Fri Jun 27 23:20:14 GMT 2025","3959","","","","","","Checkout Overview Data Correctness",""
"passed","Fri Jun 27 23:20:22 GMT 2025","Fri Jun 27 23:20:22 GMT 2025","707","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Fri Jun 27 23:20:15 GMT 2025","Fri Jun 27 23:20:16 GMT 2025","652","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri Jun 27 23:20:14 GMT 2025","Fri Jun 27 23:20:15 GMT 2025","1079","","","","","","Checkout Completion",""
"broken","Fri Jun 27 23:20:24 GMT 2025","Fri Jun 27 23:20:25 GMT 2025","652","","","","","","Login as locked user",""
"passed","Fri Jun 27 23:20:16 GMT 2025","Fri Jun 27 23:20:22 GMT 2025","5683","","","","","","Login with valid credentials -- @1.2 ",""
