"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 25 23:16:44 GMT 2024","Wed Dec 25 23:16:45 GMT 2024","913","","","","","","Remove Items from Cart",""
"broken","Wed Dec 25 23:16:33 GMT 2024","Wed Dec 25 23:16:34 GMT 2024","1021","","","","","","Checkout Completion",""
"broken","Wed Dec 25 23:16:43 GMT 2024","Wed Dec 25 23:16:43 GMT 2024","512","","","","","","Login as locked user",""
"broken","Wed Dec 25 23:16:42 GMT 2024","Wed Dec 25 23:16:42 GMT 2024","538","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Wed Dec 25 23:16:43 GMT 2024","Wed Dec 25 23:16:44 GMT 2024","705","","","","","","Add Items to Cart",""
"passed","Wed Dec 25 23:16:34 GMT 2024","Wed Dec 25 23:16:35 GMT 2024","572","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Dec 25 23:16:35 GMT 2024","Wed Dec 25 23:16:41 GMT 2024","5974","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Dec 25 23:16:41 GMT 2024","Wed Dec 25 23:16:42 GMT 2024","523","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Dec 25 23:16:42 GMT 2024","Wed Dec 25 23:16:43 GMT 2024","534","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Dec 25 23:16:32 GMT 2024","Wed Dec 25 23:16:33 GMT 2024","1599","","","","","","Checkout Overview Data Correctness",""
"passed","Wed Dec 25 23:16:41 GMT 2024","Wed Dec 25 23:16:41 GMT 2024","565","","","","","","Login with valid credentials -- @1.3 ",""
