"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 28 23:17:35 GMT 2025","Sun Sep 28 23:17:36 GMT 2025","699","","","","","","Login as locked user",""
"passed","Sun Sep 28 23:17:22 GMT 2025","Sun Sep 28 23:17:25 GMT 2025","2791","","","","","","Checkout Overview Data Correctness",""
"broken","Sun Sep 28 23:17:35 GMT 2025","Sun Sep 28 23:17:35 GMT 2025","695","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Sun Sep 28 23:17:34 GMT 2025","Sun Sep 28 23:17:35 GMT 2025","688","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Sun Sep 28 23:17:27 GMT 2025","Sun Sep 28 23:17:32 GMT 2025","5732","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Sun Sep 28 23:17:33 GMT 2025","Sun Sep 28 23:17:34 GMT 2025","706","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Sun Sep 28 23:17:36 GMT 2025","Sun Sep 28 23:17:37 GMT 2025","1058","","","","","","Add Items to Cart",""
"passed","Sun Sep 28 23:17:26 GMT 2025","Sun Sep 28 23:17:27 GMT 2025","732","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Sun Sep 28 23:17:37 GMT 2025","Sun Sep 28 23:17:39 GMT 2025","1582","","","","","","Remove Items from Cart",""
"passed","Sun Sep 28 23:17:32 GMT 2025","Sun Sep 28 23:17:33 GMT 2025","769","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sun Sep 28 23:17:25 GMT 2025","Sun Sep 28 23:17:26 GMT 2025","1202","","","","","","Checkout Completion",""
