"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 23:17:29 GMT 2024","Wed Dec 18 23:17:31 GMT 2024","1667","","","","","","Checkout Overview Data Correctness",""
"broken","Wed Dec 18 23:17:40 GMT 2024","Wed Dec 18 23:17:40 GMT 2024","517","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Wed Dec 18 23:17:31 GMT 2024","Wed Dec 18 23:17:31 GMT 2024","971","","","","","","Checkout Completion",""
"passed","Wed Dec 18 23:17:38 GMT 2024","Wed Dec 18 23:17:39 GMT 2024","553","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Dec 18 23:17:41 GMT 2024","Wed Dec 18 23:17:42 GMT 2024","856","","","","","","Remove Items from Cart",""
"passed","Wed Dec 18 23:17:41 GMT 2024","Wed Dec 18 23:17:41 GMT 2024","730","","","","","","Add Items to Cart",""
"passed","Wed Dec 18 23:17:31 GMT 2024","Wed Dec 18 23:17:32 GMT 2024","872","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Dec 18 23:17:32 GMT 2024","Wed Dec 18 23:17:38 GMT 2024","5581","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Dec 18 23:17:40 GMT 2024","Wed Dec 18 23:17:41 GMT 2024","516","","","","","","Login as locked user",""
"broken","Wed Dec 18 23:17:39 GMT 2024","Wed Dec 18 23:17:39 GMT 2024","506","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Dec 18 23:17:39 GMT 2024","Wed Dec 18 23:17:40 GMT 2024","519","","","","","","Login with invalid credentials -- @1.2 ",""
