"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 27 23:17:58 GMT 2025","Wed Aug 27 23:17:59 GMT 2025","597","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Wed Aug 27 23:17:59 GMT 2025","Wed Aug 27 23:18:00 GMT 2025","587","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Aug 27 23:18:01 GMT 2025","Wed Aug 27 23:18:02 GMT 2025","972","","","","","","Remove Items from Cart",""
"passed","Wed Aug 27 23:18:00 GMT 2025","Wed Aug 27 23:18:01 GMT 2025","880","","","","","","Add Items to Cart",""
"passed","Wed Aug 27 23:17:49 GMT 2025","Wed Aug 27 23:17:50 GMT 2025","1186","","","","","","Checkout Overview Data Correctness",""
"passed","Wed Aug 27 23:17:51 GMT 2025","Wed Aug 27 23:17:52 GMT 2025","614","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Wed Aug 27 23:17:58 GMT 2025","Wed Aug 27 23:17:58 GMT 2025","601","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Aug 27 23:17:50 GMT 2025","Wed Aug 27 23:17:51 GMT 2025","980","","","","","","Checkout Completion",""
"passed","Wed Aug 27 23:17:57 GMT 2025","Wed Aug 27 23:17:58 GMT 2025","634","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Aug 27 23:17:52 GMT 2025","Wed Aug 27 23:17:57 GMT 2025","5643","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Aug 27 23:18:00 GMT 2025","Wed Aug 27 23:18:00 GMT 2025","599","","","","","","Login as locked user",""
