"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 21 23:17:14 GMT 2025","Sun Sep 21 23:17:15 GMT 2025","598","","","","","","Login as locked user",""
"broken","Sun Sep 21 23:17:13 GMT 2025","Sun Sep 21 23:17:13 GMT 2025","585","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Sun Sep 21 23:17:04 GMT 2025","Sun Sep 21 23:17:05 GMT 2025","1080","","","","","","Checkout Completion",""
"broken","Sun Sep 21 23:17:13 GMT 2025","Sun Sep 21 23:17:14 GMT 2025","578","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Sun Sep 21 23:17:16 GMT 2025","Sun Sep 21 23:17:16 GMT 2025","944","","","","","","Remove Items from Cart",""
"passed","Sun Sep 21 23:17:02 GMT 2025","Sun Sep 21 23:17:04 GMT 2025","2068","","","","","","Checkout Overview Data Correctness",""
"passed","Sun Sep 21 23:17:05 GMT 2025","Sun Sep 21 23:17:06 GMT 2025","645","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Sun Sep 21 23:17:15 GMT 2025","Sun Sep 21 23:17:16 GMT 2025","884","","","","","","Add Items to Cart",""
"broken","Sun Sep 21 23:17:12 GMT 2025","Sun Sep 21 23:17:13 GMT 2025","585","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Sun Sep 21 23:17:06 GMT 2025","Sun Sep 21 23:17:12 GMT 2025","5644","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Sun Sep 21 23:17:12 GMT 2025","Sun Sep 21 23:17:12 GMT 2025","630","","","","","","Login with valid credentials -- @1.3 ",""
