"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 23:18:03 GMT 2025","Wed Apr 16 23:18:04 GMT 2025","1418","","","","","","Checkout Overview Data Correctness",""
"broken","Wed Apr 16 23:18:13 GMT 2025","Wed Apr 16 23:18:14 GMT 2025","593","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Apr 16 23:18:05 GMT 2025","Wed Apr 16 23:18:06 GMT 2025","651","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Wed Apr 16 23:18:04 GMT 2025","Wed Apr 16 23:18:05 GMT 2025","1022","","","","","","Checkout Completion",""
"passed","Wed Apr 16 23:18:15 GMT 2025","Wed Apr 16 23:18:16 GMT 2025","918","","","","","","Remove Items from Cart",""
"passed","Wed Apr 16 23:18:15 GMT 2025","Wed Apr 16 23:18:15 GMT 2025","885","","","","","","Add Items to Cart",""
"broken","Wed Apr 16 23:18:14 GMT 2025","Wed Apr 16 23:18:15 GMT 2025","599","","","","","","Login as locked user",""
"broken","Wed Apr 16 23:18:12 GMT 2025","Wed Apr 16 23:18:13 GMT 2025","588","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Wed Apr 16 23:18:06 GMT 2025","Wed Apr 16 23:18:12 GMT 2025","5632","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Apr 16 23:18:13 GMT 2025","Wed Apr 16 23:18:13 GMT 2025","581","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Wed Apr 16 23:18:12 GMT 2025","Wed Apr 16 23:18:12 GMT 2025","638","","","","","","Login with valid credentials -- @1.3 ",""
