"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 23:19:01 GMT 2025","Tue Oct 28 23:19:02 GMT 2025","900","","","","","","Remove Items from Cart",""
"broken","Tue Oct 28 23:18:59 GMT 2025","Tue Oct 28 23:18:59 GMT 2025","583","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Tue Oct 28 23:18:59 GMT 2025","Tue Oct 28 23:19:00 GMT 2025","579","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Tue Oct 28 23:18:46 GMT 2025","Tue Oct 28 23:18:50 GMT 2025","3451","","","","","","Checkout Overview Data Correctness",""
"broken","Tue Oct 28 23:19:00 GMT 2025","Tue Oct 28 23:19:01 GMT 2025","570","","","","","","Login as locked user",""
"passed","Tue Oct 28 23:18:52 GMT 2025","Tue Oct 28 23:18:58 GMT 2025","5635","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Tue Oct 28 23:18:58 GMT 2025","Tue Oct 28 23:18:59 GMT 2025","569","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Tue Oct 28 23:18:50 GMT 2025","Tue Oct 28 23:18:51 GMT 2025","1639","","","","","","Checkout Completion",""
"passed","Tue Oct 28 23:19:01 GMT 2025","Tue Oct 28 23:19:01 GMT 2025","881","","","","","","Add Items to Cart",""
"passed","Tue Oct 28 23:18:58 GMT 2025","Tue Oct 28 23:18:58 GMT 2025","607","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Tue Oct 28 23:18:51 GMT 2025","Tue Oct 28 23:18:52 GMT 2025","625","","","","","","Login with valid credentials -- @1.1 ",""
