"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 12 23:16:14 GMT 2025","Wed Feb 12 23:16:15 GMT 2025","549","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Wed Feb 12 23:16:16 GMT 2025","Wed Feb 12 23:16:17 GMT 2025","803","","","","","","Add Items to Cart",""
"broken","Wed Feb 12 23:16:06 GMT 2025","Wed Feb 12 23:16:07 GMT 2025","956","","","","","","Checkout Completion",""
"passed","Wed Feb 12 23:16:05 GMT 2025","Wed Feb 12 23:16:06 GMT 2025","1215","","","","","","Checkout Overview Data Correctness",""
"passed","Wed Feb 12 23:16:13 GMT 2025","Wed Feb 12 23:16:14 GMT 2025","603","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Feb 12 23:16:17 GMT 2025","Wed Feb 12 23:16:18 GMT 2025","936","","","","","","Remove Items from Cart",""
"broken","Wed Feb 12 23:16:14 GMT 2025","Wed Feb 12 23:16:14 GMT 2025","571","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Feb 12 23:16:15 GMT 2025","Wed Feb 12 23:16:16 GMT 2025","551","","","","","","Login as locked user",""
"broken","Wed Feb 12 23:16:15 GMT 2025","Wed Feb 12 23:16:15 GMT 2025","617","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Feb 12 23:16:07 GMT 2025","Wed Feb 12 23:16:07 GMT 2025","620","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Feb 12 23:16:07 GMT 2025","Wed Feb 12 23:16:13 GMT 2025","5682","","","","","","Login with valid credentials -- @1.2 ",""
