"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 23:20:17 GMT 2025","Fri Jun 20 23:20:17 GMT 2025","833","","","","","","Add Items to Cart",""
"broken","Fri Jun 20 23:20:06 GMT 2025","Fri Jun 20 23:20:07 GMT 2025","1040","","","","","","Checkout Completion",""
"broken","Fri Jun 20 23:20:16 GMT 2025","Fri Jun 20 23:20:17 GMT 2025","831","","","","","","Login as locked user",""
"passed","Fri Jun 20 23:20:17 GMT 2025","Fri Jun 20 23:20:18 GMT 2025","912","","","","","","Remove Items from Cart",""
"passed","Fri Jun 20 23:20:08 GMT 2025","Fri Jun 20 23:20:13 GMT 2025","5663","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri Jun 20 23:20:13 GMT 2025","Fri Jun 20 23:20:14 GMT 2025","648","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri Jun 20 23:20:15 GMT 2025","Fri Jun 20 23:20:15 GMT 2025","612","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Fri Jun 20 23:20:14 GMT 2025","Fri Jun 20 23:20:15 GMT 2025","613","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Fri Jun 20 23:20:15 GMT 2025","Fri Jun 20 23:20:16 GMT 2025","605","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Fri Jun 20 23:20:04 GMT 2025","Fri Jun 20 23:20:06 GMT 2025","1894","","","","","","Checkout Overview Data Correctness",""
"passed","Fri Jun 20 23:20:07 GMT 2025","Fri Jun 20 23:20:08 GMT 2025","669","","","","","","Login with valid credentials -- @1.1 ",""
