"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login Functionality","","3","4","0","0","0"
"","Checkout functionality","","1","1","0","0","0"
"","Shopping Cart functionality","","2","0","0","0","0"
