"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 23 23:17:21 GMT 2025","Sun Mar 23 23:17:21 GMT 2025","581","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Sun Mar 23 23:17:23 GMT 2025","Sun Mar 23 23:17:24 GMT 2025","981","","","","","","Remove Items from Cart",""
"passed","Sun Mar 23 23:17:13 GMT 2025","Sun Mar 23 23:17:19 GMT 2025","5673","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Sun Mar 23 23:17:19 GMT 2025","Sun Mar 23 23:17:19 GMT 2025","651","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Sun Mar 23 23:17:12 GMT 2025","Sun Mar 23 23:17:13 GMT 2025","647","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Sun Mar 23 23:17:11 GMT 2025","Sun Mar 23 23:17:12 GMT 2025","1014","","","","","","Checkout Completion",""
"passed","Sun Mar 23 23:17:22 GMT 2025","Sun Mar 23 23:17:23 GMT 2025","900","","","","","","Add Items to Cart",""
"passed","Sun Mar 23 23:17:05 GMT 2025","Sun Mar 23 23:17:11 GMT 2025","6466","","","","","","Checkout Overview Data Correctness",""
"broken","Sun Mar 23 23:17:20 GMT 2025","Sun Mar 23 23:17:21 GMT 2025","582","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Sun Mar 23 23:17:19 GMT 2025","Sun Mar 23 23:17:20 GMT 2025","585","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Sun Mar 23 23:17:21 GMT 2025","Sun Mar 23 23:17:22 GMT 2025","584","","","","","","Login as locked user",""
