"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 23:22:20 GMT 2025","Wed Jul 23 23:22:21 GMT 2025","971","","","","","","Add Items to Cart",""
"passed","Wed Jul 23 23:22:11 GMT 2025","Wed Jul 23 23:22:17 GMT 2025","5672","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Jul 23 23:22:17 GMT 2025","Wed Jul 23 23:22:18 GMT 2025","639","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Wed Jul 23 23:22:21 GMT 2025","Wed Jul 23 23:22:22 GMT 2025","1015","","","","","","Remove Items from Cart",""
"passed","Wed Jul 23 23:22:17 GMT 2025","Wed Jul 23 23:22:17 GMT 2025","686","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Wed Jul 23 23:22:10 GMT 2025","Wed Jul 23 23:22:11 GMT 2025","700","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Wed Jul 23 23:22:19 GMT 2025","Wed Jul 23 23:22:19 GMT 2025","639","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Wed Jul 23 23:22:19 GMT 2025","Wed Jul 23 23:22:20 GMT 2025","662","","","","","","Login as locked user",""
"passed","Wed Jul 23 23:22:08 GMT 2025","Wed Jul 23 23:22:09 GMT 2025","1395","","","","","","Checkout Overview Data Correctness",""
"broken","Wed Jul 23 23:22:09 GMT 2025","Wed Jul 23 23:22:10 GMT 2025","966","","","","","","Checkout Completion",""
"broken","Wed Jul 23 23:22:18 GMT 2025","Wed Jul 23 23:22:19 GMT 2025","643","","","","","","Login with invalid credentials -- @1.2 ",""
