"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 23:21:35 GMT 2025","Wed Jul 30 23:21:36 GMT 2025","759","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Jul 30 23:21:36 GMT 2025","Wed Jul 30 23:21:41 GMT 2025","5665","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Wed Jul 30 23:21:44 GMT 2025","Wed Jul 30 23:21:45 GMT 2025","652","","","","","","Login as locked user",""
"broken","Wed Jul 30 23:21:43 GMT 2025","Wed Jul 30 23:21:44 GMT 2025","652","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Wed Jul 30 23:21:34 GMT 2025","Wed Jul 30 23:21:35 GMT 2025","1021","","","","","","Checkout Completion",""
"passed","Wed Jul 30 23:21:45 GMT 2025","Wed Jul 30 23:21:45 GMT 2025","816","","","","","","Add Items to Cart",""
"broken","Wed Jul 30 23:21:42 GMT 2025","Wed Jul 30 23:21:43 GMT 2025","645","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Wed Jul 30 23:21:43 GMT 2025","Wed Jul 30 23:21:43 GMT 2025","660","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Wed Jul 30 23:21:45 GMT 2025","Wed Jul 30 23:21:46 GMT 2025","959","","","","","","Remove Items from Cart",""
"passed","Wed Jul 30 23:21:33 GMT 2025","Wed Jul 30 23:21:34 GMT 2025","1347","","","","","","Checkout Overview Data Correctness",""
"passed","Wed Jul 30 23:21:41 GMT 2025","Wed Jul 30 23:21:42 GMT 2025","686","","","","","","Login with valid credentials -- @1.3 ",""
