"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 13 23:20:19 GMT 2025","Fri Jun 13 23:20:20 GMT 2025","957","","","","","","Remove Items from Cart",""
"broken","Fri Jun 13 23:20:18 GMT 2025","Fri Jun 13 23:20:18 GMT 2025","631","","","","","","Login as locked user",""
"passed","Fri Jun 13 23:20:09 GMT 2025","Fri Jun 13 23:20:15 GMT 2025","5969","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri Jun 13 23:20:09 GMT 2025","Fri Jun 13 23:20:09 GMT 2025","655","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri Jun 13 23:20:17 GMT 2025","Fri Jun 13 23:20:18 GMT 2025","603","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Fri Jun 13 23:20:18 GMT 2025","Fri Jun 13 23:20:19 GMT 2025","814","","","","","","Add Items to Cart",""
"passed","Fri Jun 13 23:20:04 GMT 2025","Fri Jun 13 23:20:07 GMT 2025","3579","","","","","","Checkout Overview Data Correctness",""
"broken","Fri Jun 13 23:20:16 GMT 2025","Fri Jun 13 23:20:17 GMT 2025","595","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Fri Jun 13 23:20:16 GMT 2025","Fri Jun 13 23:20:16 GMT 2025","612","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Fri Jun 13 23:20:07 GMT 2025","Fri Jun 13 23:20:09 GMT 2025","1102","","","","","","Checkout Completion",""
"passed","Fri Jun 13 23:20:15 GMT 2025","Fri Jun 13 23:20:16 GMT 2025","645","","","","","","Login with valid credentials -- @1.3 ",""
