"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 23:22:32 GMT 2025","Sat Aug 02 23:22:37 GMT 2025","5663","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Sat Aug 02 23:22:40 GMT 2025","Sat Aug 02 23:22:40 GMT 2025","599","","","","","","Login as locked user",""
"broken","Sat Aug 02 23:22:38 GMT 2025","Sat Aug 02 23:22:39 GMT 2025","601","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Sat Aug 02 23:22:27 GMT 2025","Sat Aug 02 23:22:29 GMT 2025","1908","","","","","","Checkout Overview Data Correctness",""
"broken","Sat Aug 02 23:22:38 GMT 2025","Sat Aug 02 23:22:38 GMT 2025","608","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Sat Aug 02 23:22:41 GMT 2025","Sat Aug 02 23:22:42 GMT 2025","948","","","","","","Remove Items from Cart",""
"passed","Sat Aug 02 23:22:40 GMT 2025","Sat Aug 02 23:22:41 GMT 2025","849","","","","","","Add Items to Cart",""
"broken","Sat Aug 02 23:22:29 GMT 2025","Sat Aug 02 23:22:31 GMT 2025","1662","","","","","","Checkout Completion",""
"passed","Sat Aug 02 23:22:37 GMT 2025","Sat Aug 02 23:22:38 GMT 2025","643","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sat Aug 02 23:22:39 GMT 2025","Sat Aug 02 23:22:40 GMT 2025","598","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Sat Aug 02 23:22:31 GMT 2025","Sat Aug 02 23:22:32 GMT 2025","658","","","","","","Login with valid credentials -- @1.1 ",""
