"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 23:16:39 GMT 2024","Fri Dec 20 23:16:40 GMT 2024","542","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri Dec 20 23:16:41 GMT 2024","Fri Dec 20 23:16:41 GMT 2024","518","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Fri Dec 20 23:16:33 GMT 2024","Fri Dec 20 23:16:34 GMT 2024","542","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Fri Dec 20 23:16:41 GMT 2024","Fri Dec 20 23:16:42 GMT 2024","510","","","","","","Login as locked user",""
"broken","Fri Dec 20 23:16:40 GMT 2024","Fri Dec 20 23:16:41 GMT 2024","517","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Dec 20 23:16:30 GMT 2024","Fri Dec 20 23:16:32 GMT 2024","1613","","","","","","Checkout Overview Data Correctness",""
"passed","Fri Dec 20 23:16:34 GMT 2024","Fri Dec 20 23:16:39 GMT 2024","5564","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Fri Dec 20 23:16:40 GMT 2024","Fri Dec 20 23:16:40 GMT 2024","515","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Dec 20 23:16:43 GMT 2024","Fri Dec 20 23:16:44 GMT 2024","796","","","","","","Remove Items from Cart",""
"broken","Fri Dec 20 23:16:32 GMT 2024","Fri Dec 20 23:16:33 GMT 2024","1002","","","","","","Checkout Completion",""
"passed","Fri Dec 20 23:16:42 GMT 2024","Fri Dec 20 23:16:43 GMT 2024","1236","","","","","","Add Items to Cart",""
