"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 25 23:19:00 GMT 2025","Mon Aug 25 23:19:01 GMT 2025","1079","","","","","","Checkout Completion",""
"passed","Mon Aug 25 23:19:01 GMT 2025","Mon Aug 25 23:19:02 GMT 2025","624","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Mon Aug 25 23:19:02 GMT 2025","Mon Aug 25 23:19:07 GMT 2025","5599","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Mon Aug 25 23:19:07 GMT 2025","Mon Aug 25 23:19:08 GMT 2025","947","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Mon Aug 25 23:19:11 GMT 2025","Mon Aug 25 23:19:11 GMT 2025","748","","","","","","Add Items to Cart",""
"broken","Mon Aug 25 23:19:09 GMT 2025","Mon Aug 25 23:19:10 GMT 2025","583","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Mon Aug 25 23:19:11 GMT 2025","Mon Aug 25 23:19:12 GMT 2025","853","","","","","","Remove Items from Cart",""
"broken","Mon Aug 25 23:19:10 GMT 2025","Mon Aug 25 23:19:11 GMT 2025","548","","","","","","Login as locked user",""
"broken","Mon Aug 25 23:19:08 GMT 2025","Mon Aug 25 23:19:09 GMT 2025","546","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Mon Aug 25 23:19:10 GMT 2025","Mon Aug 25 23:19:10 GMT 2025","583","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Mon Aug 25 23:18:58 GMT 2025","Mon Aug 25 23:19:00 GMT 2025","1789","","","","","","Checkout Overview Data Correctness",""
