"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 03 23:16:44 GMT 2025","Fri Oct 03 23:16:45 GMT 2025","613","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Oct 03 23:16:47 GMT 2025","Fri Oct 03 23:16:48 GMT 2025","958","","","","","","Remove Items from Cart",""
"passed","Fri Oct 03 23:16:37 GMT 2025","Fri Oct 03 23:16:37 GMT 2025","635","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Fri Oct 03 23:16:46 GMT 2025","Fri Oct 03 23:16:47 GMT 2025","950","","","","","","Add Items to Cart",""
"broken","Fri Oct 03 23:16:44 GMT 2025","Fri Oct 03 23:16:44 GMT 2025","621","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Oct 03 23:16:43 GMT 2025","Fri Oct 03 23:16:44 GMT 2025","669","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Fri Oct 03 23:16:33 GMT 2025","Fri Oct 03 23:16:36 GMT 2025","2424","","","","","","Checkout Overview Data Correctness",""
"broken","Fri Oct 03 23:16:36 GMT 2025","Fri Oct 03 23:16:37 GMT 2025","1191","","","","","","Checkout Completion",""
"passed","Fri Oct 03 23:16:37 GMT 2025","Fri Oct 03 23:16:43 GMT 2025","5667","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Fri Oct 03 23:16:45 GMT 2025","Fri Oct 03 23:16:46 GMT 2025","616","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Oct 03 23:16:46 GMT 2025","Fri Oct 03 23:16:46 GMT 2025","632","","","","","","Login as locked user",""
