"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 18 23:17:26 GMT 2025","Thu Sep 18 23:17:27 GMT 2025","635","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Thu Sep 18 23:17:27 GMT 2025","Thu Sep 18 23:17:28 GMT 2025","638","","","","","","Login as locked user",""
"broken","Thu Sep 18 23:17:17 GMT 2025","Thu Sep 18 23:17:18 GMT 2025","1187","","","","","","Checkout Completion",""
"passed","Thu Sep 18 23:17:15 GMT 2025","Thu Sep 18 23:17:17 GMT 2025","1893","","","","","","Checkout Overview Data Correctness",""
"broken","Thu Sep 18 23:17:26 GMT 2025","Thu Sep 18 23:17:26 GMT 2025","631","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Thu Sep 18 23:17:25 GMT 2025","Thu Sep 18 23:17:26 GMT 2025","633","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Thu Sep 18 23:17:19 GMT 2025","Thu Sep 18 23:17:24 GMT 2025","5666","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Thu Sep 18 23:17:29 GMT 2025","Thu Sep 18 23:17:30 GMT 2025","1239","","","","","","Remove Items from Cart",""
"passed","Thu Sep 18 23:17:28 GMT 2025","Thu Sep 18 23:17:29 GMT 2025","1006","","","","","","Add Items to Cart",""
"passed","Thu Sep 18 23:17:24 GMT 2025","Thu Sep 18 23:17:25 GMT 2025","676","","","","","","Login with valid credentials -- @1.3 ",""
"passed","Thu Sep 18 23:17:18 GMT 2025","Thu Sep 18 23:17:19 GMT 2025","648","","","","","","Login with valid credentials -- @1.1 ",""
