"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 23:14:32 GMT 2025","Fri Mar 07 23:14:33 GMT 2025","980","","","","","","Remove Items from Cart",""
"broken","Fri Mar 07 23:14:29 GMT 2025","Fri Mar 07 23:14:29 GMT 2025","585","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Fri Mar 07 23:14:30 GMT 2025","Fri Mar 07 23:14:30 GMT 2025","564","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Mar 07 23:14:20 GMT 2025","Fri Mar 07 23:14:21 GMT 2025","1008","","","","","","Checkout Completion",""
"passed","Fri Mar 07 23:14:18 GMT 2025","Fri Mar 07 23:14:20 GMT 2025","1442","","","","","","Checkout Overview Data Correctness",""
"passed","Fri Mar 07 23:14:27 GMT 2025","Fri Mar 07 23:14:29 GMT 2025","1573","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri Mar 07 23:14:30 GMT 2025","Fri Mar 07 23:14:31 GMT 2025","580","","","","","","Login as locked user",""
"passed","Fri Mar 07 23:14:31 GMT 2025","Fri Mar 07 23:14:32 GMT 2025","867","","","","","","Add Items to Cart",""
"broken","Fri Mar 07 23:14:29 GMT 2025","Fri Mar 07 23:14:30 GMT 2025","567","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Fri Mar 07 23:14:21 GMT 2025","Fri Mar 07 23:14:21 GMT 2025","638","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Fri Mar 07 23:14:21 GMT 2025","Fri Mar 07 23:14:27 GMT 2025","5669","","","","","","Login with valid credentials -- @1.2 ",""
