"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 03 23:18:30 GMT 2024","Tue Dec 03 23:18:30 GMT 2024","587","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Tue Dec 03 23:18:29 GMT 2024","Tue Dec 03 23:18:30 GMT 2024","564","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Tue Dec 03 23:18:22 GMT 2024","Tue Dec 03 23:18:22 GMT 2024","606","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Tue Dec 03 23:18:31 GMT 2024","Tue Dec 03 23:18:32 GMT 2024","882","","","","","","Add Items to Cart",""
"passed","Tue Dec 03 23:18:28 GMT 2024","Tue Dec 03 23:18:28 GMT 2024","649","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Tue Dec 03 23:18:28 GMT 2024","Tue Dec 03 23:18:29 GMT 2024","550","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Tue Dec 03 23:18:22 GMT 2024","Tue Dec 03 23:18:28 GMT 2024","5598","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Tue Dec 03 23:18:30 GMT 2024","Tue Dec 03 23:18:31 GMT 2024","597","","","","","","Login as locked user",""
"passed","Tue Dec 03 23:18:32 GMT 2024","Tue Dec 03 23:18:33 GMT 2024","996","","","","","","Remove Items from Cart",""
"broken","Tue Dec 03 23:18:21 GMT 2024","Tue Dec 03 23:18:22 GMT 2024","979","","","","","","Checkout Completion",""
"passed","Tue Dec 03 23:18:19 GMT 2024","Tue Dec 03 23:18:21 GMT 2024","1272","","","","","","Checkout Overview Data Correctness",""
