"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 23:17:10 GMT 2025","Sat Oct 18 23:17:16 GMT 2025","5642","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Sat Oct 18 23:17:18 GMT 2025","Sat Oct 18 23:17:19 GMT 2025","568","","","","","","Login as locked user",""
"passed","Sat Oct 18 23:17:10 GMT 2025","Sat Oct 18 23:17:10 GMT 2025","679","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Sat Oct 18 23:17:19 GMT 2025","Sat Oct 18 23:17:20 GMT 2025","854","","","","","","Add Items to Cart",""
"passed","Sat Oct 18 23:17:06 GMT 2025","Sat Oct 18 23:17:09 GMT 2025","2810","","","","","","Checkout Overview Data Correctness",""
"passed","Sat Oct 18 23:17:20 GMT 2025","Sat Oct 18 23:17:20 GMT 2025","877","","","","","","Remove Items from Cart",""
"passed","Sat Oct 18 23:17:16 GMT 2025","Sat Oct 18 23:17:16 GMT 2025","626","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sat Oct 18 23:17:17 GMT 2025","Sat Oct 18 23:17:18 GMT 2025","568","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Sat Oct 18 23:17:16 GMT 2025","Sat Oct 18 23:17:17 GMT 2025","571","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Sat Oct 18 23:17:09 GMT 2025","Sat Oct 18 23:17:10 GMT 2025","940","","","","","","Checkout Completion",""
"broken","Sat Oct 18 23:17:18 GMT 2025","Sat Oct 18 23:17:18 GMT 2025","580","","","","","","Login with invalid credentials -- @1.3 ",""
