"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 25 23:17:02 GMT 2025","Tue Feb 25 23:17:03 GMT 2025","925","","","","","","Remove Items from Cart",""
"broken","Tue Feb 25 23:16:51 GMT 2025","Tue Feb 25 23:16:52 GMT 2025","901","","","","","","Checkout Completion",""
"passed","Tue Feb 25 23:16:58 GMT 2025","Tue Feb 25 23:16:59 GMT 2025","600","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Tue Feb 25 23:16:59 GMT 2025","Tue Feb 25 23:17:00 GMT 2025","559","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Tue Feb 25 23:16:53 GMT 2025","Tue Feb 25 23:16:58 GMT 2025","5620","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Tue Feb 25 23:17:00 GMT 2025","Tue Feb 25 23:17:01 GMT 2025","567","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Tue Feb 25 23:16:50 GMT 2025","Tue Feb 25 23:16:51 GMT 2025","1247","","","","","","Checkout Overview Data Correctness",""
"passed","Tue Feb 25 23:16:52 GMT 2025","Tue Feb 25 23:16:53 GMT 2025","617","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Tue Feb 25 23:17:01 GMT 2025","Tue Feb 25 23:17:02 GMT 2025","794","","","","","","Add Items to Cart",""
"broken","Tue Feb 25 23:17:00 GMT 2025","Tue Feb 25 23:17:00 GMT 2025","567","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Tue Feb 25 23:17:01 GMT 2025","Tue Feb 25 23:17:01 GMT 2025","563","","","","","","Login as locked user",""
