"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 28 23:19:04 GMT 2025","Sat Jun 28 23:19:05 GMT 2025","666","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Sat Jun 28 23:19:02 GMT 2025","Sat Jun 28 23:19:03 GMT 2025","725","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sat Jun 28 23:19:05 GMT 2025","Sat Jun 28 23:19:05 GMT 2025","685","","","","","","Login as locked user",""
"broken","Sat Jun 28 23:18:54 GMT 2025","Sat Jun 28 23:18:56 GMT 2025","1097","","","","","","Checkout Completion",""
"passed","Sat Jun 28 23:19:06 GMT 2025","Sat Jun 28 23:19:07 GMT 2025","1048","","","","","","Remove Items from Cart",""
"passed","Sat Jun 28 23:18:56 GMT 2025","Sat Jun 28 23:19:02 GMT 2025","5695","","","","","","Login with valid credentials -- @1.2 ",""
"broken","Sat Jun 28 23:19:03 GMT 2025","Sat Jun 28 23:19:04 GMT 2025","678","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Sat Jun 28 23:19:05 GMT 2025","Sat Jun 28 23:19:06 GMT 2025","1009","","","","","","Add Items to Cart",""
"passed","Sat Jun 28 23:18:53 GMT 2025","Sat Jun 28 23:18:54 GMT 2025","1313","","","","","","Checkout Overview Data Correctness",""
"passed","Sat Jun 28 23:18:56 GMT 2025","Sat Jun 28 23:18:56 GMT 2025","677","","","","","","Login with valid credentials -- @1.1 ",""
"broken","Sat Jun 28 23:19:03 GMT 2025","Sat Jun 28 23:19:03 GMT 2025","685","","","","","","Login with invalid credentials -- @1.1 ",""
