"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 21 23:15:47 GMT 2024","Sat Dec 21 23:15:48 GMT 2024","1355","","","","","","Checkout Overview Data Correctness",""
"broken","Sat Dec 21 23:15:56 GMT 2024","Sat Dec 21 23:15:56 GMT 2024","549","","","","","","Login with invalid credentials -- @1.1 ",""
"broken","Sat Dec 21 23:15:48 GMT 2024","Sat Dec 21 23:15:49 GMT 2024","950","","","","","","Checkout Completion",""
"passed","Sat Dec 21 23:15:59 GMT 2024","Sat Dec 21 23:16:00 GMT 2024","928","","","","","","Remove Items from Cart",""
"broken","Sat Dec 21 23:15:56 GMT 2024","Sat Dec 21 23:15:57 GMT 2024","550","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Sat Dec 21 23:15:49 GMT 2024","Sat Dec 21 23:15:49 GMT 2024","559","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Sat Dec 21 23:15:49 GMT 2024","Sat Dec 21 23:15:55 GMT 2024","5587","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Sat Dec 21 23:15:58 GMT 2024","Sat Dec 21 23:15:59 GMT 2024","822","","","","","","Add Items to Cart",""
"passed","Sat Dec 21 23:15:55 GMT 2024","Sat Dec 21 23:15:56 GMT 2024","592","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Sat Dec 21 23:15:57 GMT 2024","Sat Dec 21 23:15:58 GMT 2024","559","","","","","","Login as locked user",""
"broken","Sat Dec 21 23:15:57 GMT 2024","Sat Dec 21 23:15:57 GMT 2024","538","","","","","","Login with invalid credentials -- @1.3 ",""
