"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 23:18:41 GMT 2024","Fri Nov 22 23:18:42 GMT 2024","879","","","","","","Add Items to Cart",""
"broken","Fri Nov 22 23:18:40 GMT 2024","Fri Nov 22 23:18:41 GMT 2024","537","","","","","","Login with invalid credentials -- @1.3 ",""
"broken","Fri Nov 22 23:18:39 GMT 2024","Fri Nov 22 23:18:40 GMT 2024","533","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Fri Nov 22 23:18:29 GMT 2024","Fri Nov 22 23:18:31 GMT 2024","1803","","","","","","Checkout Overview Data Correctness",""
"passed","Fri Nov 22 23:18:39 GMT 2024","Fri Nov 22 23:18:39 GMT 2024","596","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Fri Nov 22 23:18:41 GMT 2024","Fri Nov 22 23:18:41 GMT 2024","550","","","","","","Login as locked user",""
"broken","Fri Nov 22 23:18:40 GMT 2024","Fri Nov 22 23:18:40 GMT 2024","547","","","","","","Login with invalid credentials -- @1.2 ",""
"broken","Fri Nov 22 23:18:31 GMT 2024","Fri Nov 22 23:18:32 GMT 2024","1124","","","","","","Checkout Completion",""
"passed","Fri Nov 22 23:18:32 GMT 2024","Fri Nov 22 23:18:39 GMT 2024","6220","","","","","","Login with valid credentials -- @1.2 ",""
"passed","Fri Nov 22 23:18:32 GMT 2024","Fri Nov 22 23:18:32 GMT 2024","598","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Fri Nov 22 23:18:42 GMT 2024","Fri Nov 22 23:18:43 GMT 2024","1000","","","","","","Remove Items from Cart",""
