"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 23:16:28 GMT 2025","Wed Jan 15 23:16:29 GMT 2025","562","","","","","","Login with valid credentials -- @1.1 ",""
"passed","Wed Jan 15 23:16:38 GMT 2025","Wed Jan 15 23:16:39 GMT 2025","934","","","","","","Remove Items from Cart",""
"passed","Wed Jan 15 23:16:37 GMT 2025","Wed Jan 15 23:16:38 GMT 2025","824","","","","","","Add Items to Cart",""
"broken","Wed Jan 15 23:16:35 GMT 2025","Wed Jan 15 23:16:36 GMT 2025","566","","","","","","Login with invalid credentials -- @1.1 ",""
"passed","Wed Jan 15 23:16:27 GMT 2025","Wed Jan 15 23:16:28 GMT 2025","981","","","","","","Checkout Overview Data Correctness",""
"broken","Wed Jan 15 23:16:36 GMT 2025","Wed Jan 15 23:16:37 GMT 2025","567","","","","","","Login with invalid credentials -- @1.3 ",""
"passed","Wed Jan 15 23:16:35 GMT 2025","Wed Jan 15 23:16:35 GMT 2025","609","","","","","","Login with valid credentials -- @1.3 ",""
"broken","Wed Jan 15 23:16:37 GMT 2025","Wed Jan 15 23:16:37 GMT 2025","549","","","","","","Login as locked user",""
"broken","Wed Jan 15 23:16:28 GMT 2025","Wed Jan 15 23:16:28 GMT 2025","886","","","","","","Checkout Completion",""
"broken","Wed Jan 15 23:16:36 GMT 2025","Wed Jan 15 23:16:36 GMT 2025","564","","","","","","Login with invalid credentials -- @1.2 ",""
"passed","Wed Jan 15 23:16:29 GMT 2025","Wed Jan 15 23:16:35 GMT 2025","5577","","","","","","Login with valid credentials -- @1.2 ",""
